"id","企业名称","法定代表人","注册资本","成立日期","核准日期","营业期限","所属省份","所属城市","所属区县","统一社会信用代码","参保人数","企业类型","所属行业","注册地址","经营范围"
"712","湖北一方科技发展有限责任公司","毕宏伟","900万(元)","2001-01-03","2024-09-14","-","湖北省","武汉市","江夏区","914201007257607447","10人","有限责任公司(非自然人投资或控股的法人独资)","专业技术服务业","武汉市东湖新技术开发区关南科技工业园综合楼2楼A2-11-04室","一般项目：技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广,水文服务,水资源管理,水环境污染防治服务,水污染治理,生态资源监测,环境保护监测,环保咨询服务,信息咨询服务（不含许可类信息咨询服务）,软件开发,人工智能基础软件开发,工程和技术研究和试验发展,基础地质勘查,导航、测绘、气象及海洋专用仪器制造,导航、测绘、气象及海洋专用仪器销售,生态环境监测及检测仪器仪表制造,生态环境监测及检测仪器仪表销售,水质污染物监测及检测仪器仪表制造,水质污染物监测及检测仪器仪表销售,环境应急检测仪器仪表制造,环境应急检测仪器仪表销售,小微型客车租赁经营服务,船舶租赁。（除许可业务外，可自主依法经营法律法规非禁止或限制的项目）许可项目：测绘服务,建设工程施工,建设工程设计。（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准）"
"713","广州市阿尔法软件信息技术有限公司","崔秉良","5,000万(元)","2001-04-23","2024-06-13","-","广东省","广州市","天河区","914401067268016833","39人","其他有限责任公司","软件和信息技术服务业","广州市天河区天慧路14号C405、C406、C407房","信息系统集成服务;数据处理和存储支持服务;计算机系统服务;信息系统运行维护服务;软件开发;软件销售;数据处理服务;大数据服务;数字内容制作服务（不含出版发行）;信息技术咨询服务;地理遥感信息服务;档案整理服务;人工智能双创服务平台;人工智能公共服务平台技术咨询服务;人工智能公共数据平台;人工智能基础软件开发;人工智能应用软件开发;人工智能理论与算法软件开发;人工智能通用应用系统;人工智能行业应用系统集成服务;计算机软硬件及辅助设备零售;办公设备耗材销售;测绘服务;国土空间规划编制;劳务派遣服务"
"714","浙江禾东船业科技股份有限公司","徐梦婷","3,006万(元)","2000-02-15","2025-07-21","2000-02-15 至 2030-02-14","浙江省","嘉兴市","秀洲区","913304117195643170","30人","股份有限公司(非上市、自然人投资或控股)","铁路、船舶、航空航天和其他运输设备制造业","浙江省嘉兴市秀洲区王江泾镇收藏村芦荡湾","一般项目：船舶的研发、制造及修理；船舶设计、船舶内部装修、金属制品精加工、金属构件制作、船用配件销售；船舶租赁；货物进出口。(除依法须经批准的项目外，凭营业执照依法自主开展经营活动)。（依法须经批准的项目，经相关部门批准后方可开展经营活动）"
"715","阜阳奕天贸易有限公司","霍梦亮","30万(元)","2024-02-28","2024-02-28","-","安徽省","阜阳市","颍州区","91341202MADB33QW24","0人","有限责任公司(自然人投资或控股)","批发业","安徽省阜阳市颍州区鼓楼街道颍州区阜信商业大街5＃楼5110室","一般项目：办公用品销售；办公设备销售；办公设备耗材销售；办公服务；文具用品批发；纸制品销售；纸浆销售；复印和胶印设备销售；打字复印；日用百货销售；五金产品批发；体育用品及器材批发；劳动保护用品销售；特种劳动防护用品销售；鞋帽批发；服装服饰批发；针纺织品及原料销售；食品销售（仅销售预包装食品）；未经加工的坚果、干果销售；厨具卫具及日用杂品批发；家用电器销售；橡胶制品销售；化工产品销售（不含许可类化工产品）；计算机软硬件及辅助设备批发；通讯设备销售；日用口罩（非医用）销售；医用口罩批发；卫生用品和一次性使用医疗用品销售；消毒剂销售（不含危险化学品）；医护人员防护用品批发；家居用品销售；日用品批发；个人卫生用品销售；日用品销售；针纺织品销售；户外用品销售；玩具、动漫及游艺用品销售；灯具销售；卫生洁具销售；家用视听设备销售；皮革制品销售；非电力家用器具销售；油墨销售（不含危险化学品）；电子产品销售；软件销售；石墨及碳素制品销售；货物进出口；计算机软硬件及辅助设备零售；五金产品零售（除许可业务外，可自主依法经营法律法规非禁止或限制的项目）"
"716","联奕科技股份有限公司","任刚","9,301.05万(元)","2004-07-05","2025-02-14","-","广东省","广州市","天河区","91440101764015739R","500人","其他股份有限公司(非上市)","软件和信息技术服务业","广州市天河区科韵路16号自编1栋501","安全系统监控服务;工程管理服务;计算机软硬件及辅助设备零售;计算机及办公设备维修;计算机软硬件及辅助设备批发;集成电路芯片设计及服务;办公设备耗材销售;信息系统集成服务;数据处理和存储支持服务;软件开发;人工智能应用软件开发;软件外包服务;智能控制系统集成;信息系统运行维护服务;信息技术咨询服务;数据处理服务;计算机系统服务;大数据服务;网络与信息安全软件开发;网络技术服务;建筑劳务分包;第二类增值电信业务;"
"717","中国铁塔股份有限公司安徽省分公司","戴海兵","-","2014-09-23","2025-05-23","-","安徽省","合肥市","蜀山区","913400003941057872","846人","股份有限公司分公司(非上市、外商投资企业投资)","电信、广播电视和卫星传输服务","安徽省合肥市高新开发区长宁社区服务中心复兴社区高塔路6号1-3层、7-10层","接受公司委托从事铁塔建设、维护、运营；基站机房、电源、空调等配套设施和室内分布系统的建设、维护、运营及基站设备的维护。（依法须经批准的项目，经相关部门批准后方可开展经营活动）"
"718","北京鑫晨风华业科贸有限公司","林章所","300万(元)","2002-03-22","2025-04-22","2002-03-22 至 2032-03-21","北京市","市辖区","丰台区","91110106736494314G","10人","有限责任公司(自然人投资或控股)","科技推广和应用服务业","北京市北京经济技术开发区西环南路26号院22-1号楼2层208","技术开发、技术咨询、技术服务；销售通讯器材、消防器材、电子产品、机械设备、工艺品、五金交电（不含电动自行车）、仪器仪表、电子计算机软硬件及辅助设备、公共安全防范产品。（市场主体依法自主选择经营项目，开展经营活动；依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事国家和本市产业政策禁止和限制类项目的经营活动。）"
"719","常州市环球环卫服务有限公司","蒋婷","8,000万(元)","1998-06-12","2025-02-19","1998-06-12 至 2028-06-11","江苏省","常州市","武进区","913204127036410827","96人","有限责任公司(自然人投资或控股)","公共设施管理业","武进区牛塘镇卢家巷村工业集中区文武路6号","道路清扫保洁；河道、湖泊保洁；生活垃圾、特种垃圾、粪便的收集、运输、处理；道路普通货物运输；公厕的冲洗、保洁及粪窑清理；建筑土石方开挖；下水道及雨水管道、污水管道的疏通；建筑物表面及玻璃墙清洗；园林绿化养护、工程施工；物业管理服务。（依法须经批准的项目，经相关部门批准后方可开展经营活动）一般项目：污水处理及其再生利用（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）"
"720","安徽超星信息技术有限公司","秦文玉","1,000万(元)","2017-10-27","2024-06-13","-","安徽省","合肥市","蜀山区","91340100MA2Q3JXW42","88人","其他有限责任公司","软件和信息技术服务业","安徽省合肥市蜀山区经济开发区稻香路9号科技创业中心511室","许可项目：广播电视节目制作经营；出版物批发；出版物零售；音像制品制作（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准）一般项目：技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；信息系统运行维护服务；大数据服务；数字技术服务；互联网数据服务；软件销售；网络技术服务；计算机软硬件及辅助设备零售；电子产品销售；摄像及视频制作服务；教育咨询服务（不含涉许可审批的教育培训活动）；业务培训（不含教育培训、职业技能培训等需取得许可的培训）；专业设计服务；网络与信息安全软件开发；人工智能基础资源与技术平台；软件外包服务；数据处理和存储支持服务；数字内容制作服务（不含出版发行）；会议及展览服务；组织文化艺术交流活动；工程管理服务；信息系统集成服务（除许可业务外，可自主依法经营法律法规非禁止或限制的项目）"
"721","安徽省优质采科技发展有限责任公司","卢晓凯","2,200万(元)","2017-01-16","2023-02-24","-","安徽省","合肥市","包河区","91340100MA2NBLTE86","135人","其他有限责任公司","专业技术服务业","安徽省合肥市包河区徽州大道4872号金融港中心A11幢办201室","一般项目：以自有资金从事投资活动；技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；销售代理；互联网销售（除销售需要许可的商品）；计算机系统服务；软件开发；软件销售；信息咨询服务（不含许可类信息咨询服务）；社会经济咨询服务；贸易经纪；会议及展览服务；市场调查（不含涉外调查）；企业管理咨询；数据处理服务；招投标代理服务；专用化学产品销售（不含危险化学品）；劳动保护用品销售；橡胶制品销售；五金产品零售；建筑材料销售；金属材料销售；电子元器件与机电组件设备销售；机械设备销售；日用化学产品销售；办公用品销售；家用电器销售；电子产品销售；电线、电缆经营；涂料销售（不含危险化学品）；风动和电动工具销售；仪器仪表销售；管道运输设备销售；制冷、空调设备销售；气体压缩机械销售；计算机软硬件及辅助设备零售；消防器材销售；食品销售（仅销售预包装食品）；润滑油销售；农副产品销售；通讯设备销售；非金属矿及制品销售；煤炭及制品销售；化工产品销售（不含许可类化工产品）；水泥制品销售；金属制品销售；金属矿石销售（除许可业务外，可自主依法经营法律法规非禁止或限制的项目）许可项目：第一类增值电信业务；第二类增值电信业务；酒类经营（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准）"
"722","安徽中书智慧物联科技有限公司","程琳","500万(元)","2019-07-25","2024-12-13","-","安徽省","合肥市","包河区","91340111MA2TY7UP7F","0人","有限责任公司(自然人投资或控股)","互联网和相关服务","合肥市包河区水阳江路与宁国路交口速普大楼402室","一般项目：物联网应用服务；物联网技术服务；网络技术服务；技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；信息系统集成服务；软件开发；人工智能应用软件开发；数据处理和存储支持服务；网络与信息安全软件开发；信息系统运行维护服务；广告发布；广告设计、代理；会议及展览服务；办公设备销售；文化、办公用设备制造；动漫游戏开发；计算机软硬件及辅助设备零售；机械设备研发；人工智能基础软件开发；电子产品销售；第一类医疗器械销售；第二类医疗器械销售；第一类医疗器械生产；家用电器销售；普通机械设备安装服务；家具安装和维修服务；五金产品零售；家具销售；家居用品制造；家居用品销售；金属材料销售；办公用品销售；专业设计服务；平面设计；图文设计制作；针纺织品销售；家用纺织制成品制造；卫生洁具销售；玻璃纤维增强塑料制品销售；体育用品及器材零售；文化用品设备出租；教学用模型及教具销售；文具用品零售；工业互联网数据服务；门窗销售；室内木门窗安装服务；金属门窗工程施工；门窗制造加工；保温材料销售；生物化工产品技术研发（除许可业务外，可自主依法经营法律法规非禁止或限制的项目）许可项目：互联网信息服务；第二类医疗器械生产；第三类医疗器械经营；第三类医疗器械生产；建设工程设计；建设工程施工（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准）"
"723","北京润尼尔科技股份有限公司","高文平","2,483.137万(元)","2007-12-19","2024-10-22","-","北京市","市辖区","石景山区","911101026705888192","212人","其他股份有限公司(非上市)","科技推广和应用服务业","北京市石景山区实兴大街30号院3号楼2层A-1859房间(集群注册)","一般项目：技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；虚拟现实设备制造；互联网设备制造；计算机软硬件及外围设备制造；计算机软硬件及辅助设备批发；计算机软硬件及辅助设备零售；计算机及办公设备维修；云计算设备制造；云计算设备销售；云计算装备技术服务；软件开发；信息系统运行维护服务；人工智能应用软件开发；计算机系统服务；会议及展览服务；专业设计服务；数字创意产品展览展示服务；平面设计；工业工程设计服务；图文设计制作；非居住房地产租赁；工程管理服务。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）（不得从事国家和本市产业政策禁止和限制类项目的经营活动。）"
"724","阜阳市华维电子科技有限公司","刘瑞瑞","100万(元)","2014-03-14","2020-11-02","2014-03-14 至 2034-03-13","安徽省","阜阳市","颍州区","91341200094822469M","0人","有限责任公司(自然人投资或控股)","科技推广和应用服务业","安徽省阜阳市颍州区阜王路人民银行家属院3#楼403室","电子科技研发，安防监控工程、楼宇对讲工程、小区背景音乐工程、弱电工程的设计、施工、维修及保养；安防产品、防盗报警产品、电视监控产品、楼宇对讲系统设备、电子显示屏、系统集成网络产品、办公设备及耗材、电脑配件、数码产品、电子产品、电线、电缆、五金配件、安防周边器材批发、零售及维修。（依法须经批准的项目，经相关部门批准后方可开展经营活动）"
"725","安徽创新云科技有限公司","孟晴晴","2,450万(元)","2009-03-16","2024-10-11","-","安徽省","合肥市","蜀山区","91340100686859556P","31人","有限责任公司(自然人投资或控股)","建筑安装业","安徽省合肥市蜀山区花峰路与千丈路交叉口跨境电商总部基地3号楼6层东半层","计算机信息网络软硬件智能化、安全技术防范产品、门禁系统产品开发、生产、销售；消防弱电、防雷、装潢、演播厅系统工程设计、施工、技术服务；计算机配件、电器产品、电子产品、空调、智能楼宇、智能家居、办公家具、防火门、隔离网、建材销售；电子与智能化工程；房屋建筑工程总承包；机电安装工程总承包；钢结构工程专业承包；环保工程专业承包；防腐保温工程专业承包；城市及道路照明工程专业承包；水处理设备生产、销售；高低压电控设备生产、销售；高低压电网产品生产、销售及工程承包；矿用产品的生产、销售。（依法须经批准的项目，经相关部门批准后方可开展经营活动）"
"726","安徽汇通医疗器械有限公司","胡光秀","120万(元)","2005-11-07","2008-01-11","2005-11-07 至 2025-12-31","安徽省","合肥市","庐阳区","913401007810904316","2人","有限责任公司(自然人投资或控股)","批发业","安徽省合肥市蒙城北路与义井路交叉口正丰苑综合楼六楼","医疗器械销售（二、三类器械按许可证核定经营）。"
"727","合肥西秦文化传媒有限公司","龚先进","200万(元)","2019-04-15","2019-04-15","-","安徽省","合肥市","巢湖市","91340100MA2TM2MK6E","19人","有限责任公司(自然人独资)","科技推广和应用服务业","安徽巢湖经济开发区金巢大道一号北四楼404室","动漫设计与制作；动画片、动画广告、动漫舞台剧（节）目制作、演出；动漫图书、音像制品的批发、零售；动漫衍生产品研发、设计、生产、批发零售；音像产品制作；设计、生产、销售工艺品、电子产品、玩具、服装；销售计算机软硬件、办公设备、文教用品；摄影服务；计算机技术开发、推广、转让、咨询服务；网页设计；计算机图文设计制作；计算机软件开发；设计、制作、代理、发布广告；出版物批发零售；游戏作品互联网出版业务（凭许可证经营）（国家限定公司经营或限制出口的商品和技术除外）；组织文化艺术交流活动（不含营业性演出）；文艺创作；会议服务；承办展览展示活动；第二类增值电信业务中的信息服务业务（范围详见许可证，凭许可证经营）。（依法须经批准的项目，经相关部门批准后方可开展经营活动）"
"728","合肥中科前沿科技有限公司","魏敏","1,000万(元)","2016-12-23","2023-09-06","2016-12-23 至 2036-12-22","安徽省","合肥市","蜀山区","91340100MA2NA674X4","13人","其他有限责任公司","通用设备制造业","安徽省合肥市经济技术开发区锦绣大道与清潭路交叉口中德合作创新园1#楼7层709室","一般项目：软件开发；人工智能基础软件开发；人工智能应用软件开发；工业机器人制造；工业机器人销售；工业机器人安装、维修；电子产品销售；电气设备销售；电气设备修理；机械设备研发；信息系统集成服务；工业控制计算机及系统制造；网络技术服务；大数据服务；物联网技术服务；信息技术咨询服务（除许可业务外，可自主依法经营法律法规非禁止或限制的项目）"
"729","人民日报传媒广告有限公司","寇非","3,000万(元)","2011-12-26","2024-05-29","-","北京市","市辖区","朝阳区","911100007178318211","91人","有限责任公司(法人独资)","商务服务业","北京市朝阳区金台西路2号院5号楼","广告代理；广告策划、广告创意与设计、广告制作、广告发布、文化创意、市场研究、公关活动、会议服务；营销策划咨询、城市与企事业单位的形象策划、咨询；会务会展服务、礼仪咨询与服务；市场调研及广告效果监测；数据处理（数据处理中的银行卡中心、PUE值在1.5以上的云计算数据中心除外）；技术开发；销售计算机软硬件及辅助设备、文化用品、体育用品及器材、日用品、家用电器、机械设备、五金产品、电子产品、建筑材料、工艺品、珠宝首饰、纺织品；货物进出口、技术进出口、代理进出口；广播电视节目制作；信息服务业务（仅限互联网信息服务；不含信息搜索查询服务、信息即时交互服务）。（市场主体依法自主选择经营项目，开展经营活动；广播电视节目制作以及依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事国家和本市产业政策禁止和限制类项目的经营活动。）"
"730","中国企业联合会","朱宏任","2,500万(元)","1992-06-01","-","2022-10-24 至 2027-10-24","-","-","-","51100000500010707C","-","-","-","北京市海淀区紫竹院南路17号","调查研究 管理培训 国际交流 信息咨询 劳工协调 广告指导 专业展览 企业评估 经济合作"
"731","安徽省汽车经销商商会","孟军","5万(元)","2009-05-30","-","2025-01-09 至 2030-01-09","安徽省","合肥市","蜀山区","513400006910553684","-","-","-","安徽省合肥市蜀山区金寨路811号安粮国贸中心26楼2603室","调研、交流、培训、咨询、服务"
"732","合肥政文国际会展管理有限公司","文良武","500万(元)","2015-04-28","2023-12-27","-","安徽省","合肥市","包河区","91340100336791889B","130人","有限责任公司(非自然人投资或控股的法人独资)","商务服务业","安徽省合肥市包河区锦绣大道3899号合肥滨湖国际会展中心","承办会议展览展示及相关服务；展具、场地租赁；电脑图文、展厅的设计、制作；平面、环境艺术设计；室内装饰工程；水电安装；国内广告的设计、制作、代理、发布；酒店管理；餐饮服务；停车场服务；日用百货销售；线上会展软件开发、云上展厅搭建及数据分析运营。（依法须经批准的项目，经相关部门批准后方可开展经营活动）"
"733","正元智慧集团股份有限公司","陈艺戎","14,208.667万(元)","2000-03-13","2025-06-05","-","浙江省","杭州市","余杭区","913300007200827022","892人","其他股份有限公司(上市)","软件和信息技术服务业","浙江省杭州市余杭区舒心路359号正元智慧大厦A幢17层","许可项目：第一类增值电信业务；第二类增值电信业务；建筑智能化系统设计；建设工程施工；职业中介活动；电热食品加工设备生产（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以审批结果为准）。一般项目：技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；软件开发；软件销售；人工智能应用软件开发；人工智能行业应用系统集成服务；人工智能硬件销售；物联网技术研发；物联网技术服务；物联网应用服务；大数据服务；数据处理服务；互联网数据服务；信息系统集成服务；信息系统运行维护服务；安全技术防范系统设计施工服务；节能管理服务；洗烫服务；洗染服务；软件外包服务；人力资源服务（不含职业中介活动、劳务派遣服务）；计算机软硬件及外围设备制造；计算机软硬件及辅助设备零售；计算机软硬件及辅助设备批发；计算机及办公设备维修；移动终端设备制造；移动终端设备销售；智能仪器仪表制造；智能仪器仪表销售；终端计量设备制造；终端计量设备销售；智能家庭消费设备销售；电热食品加工设备销售；制冷、空调设备制造；制冷、空调设备销售；厨具卫具及日用杂品零售；风机、风扇制造；风机、风扇销售；燃气器具生产；环境保护专用设备销售；环境保护专用设备制造；金属制日用品制造；家用电器销售；电子产品销售；办公设备销售；洗涤机械销售；建筑材料销售；货物进出口（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）。"
"734","中国应急管理报社有限公司","崔涛","25,549.03万(元)","2024-06-28","2024-06-28","-","北京市","市辖区","朝阳区","91110000MADQU3Y102","-","有限责任公司(国有独资)","新闻和出版业","北京市朝阳区和平街十三区35号楼4层401、5层501","许可项目：报纸出版；期刊出版；互联网新闻信息服务；互联网信息服务；出版物批发；出版物零售；信息网络传播视听节目；广播电视节目制作经营。（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准）一般项目：互联网数据服务；舆情信息服务；数字内容制作服务（不含出版发行）；广告设计、代理；广告发布；广告制作；安全咨询服务；项目策划与公关服务；技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；业务培训（不含教育培训、职业技能培训等需取得许可的培训）；会议及展览服务；组织文化艺术交流活动；数字文化创意内容应用服务；非居住房地产租赁；互联网销售（除销售需要许可的商品）。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）（不得从事国家和本市产业政策禁止和限制类项目的经营活动。）"
"735","安徽省老年大学协会","钱自海","3万(元)","1994-09-13","-","2025-01-13 至 2025-07-25","安徽省","合肥市","包河区","51340000738908349M","-","-","-","安徽省合肥市包河区中山路1299号","协作、研究、指导、交流"
"736","山大地纬软件股份有限公司","郑永清","40,001万(元)","1992-11-19","2024-08-28","-","山东省","济南市","章丘区","91370000614070564Q","1604人","股份有限公司(上市、国有控股)","软件和信息技术服务业","山东省济南市章丘区文博路1579号","许可项目：输电、供电、受电电力设施的安装、维修和试验；建设工程施工。（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准）一般项目：软件销售；软件开发；技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；计算机软硬件及外围设备制造；计算机软硬件及辅助设备零售；技术进出口；计算机及通讯设备租赁；住房租赁；非居住房地产租赁；人力资源服务（不含职业中介活动、劳务派遣服务）。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）"
"737","安徽金鹃轨道交通传媒科技有限公司","张征东","2,000万(元)","2019-01-18","2024-07-26","2019-01-18 至 2039-01-17","安徽省","合肥市","蜀山区","91340100MA2TEEFB7P","35人","其他有限责任公司","商务服务业","安徽省合肥市高新区望江西路766号科研生产楼1幢6层","一般项目：技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；广告设计、代理；图文设计制作；平面设计；组织文化艺术交流活动；信息咨询服务（不含许可类信息咨询服务）；专业设计服务；数字技术服务；软件开发；数字内容制作服务（不含出版发行）；个人商务服务；广告制作；礼仪服务；摄像及视频制作服务；日用杂品销售；针纺织品及原料销售；日用品销售；互联网销售（除销售需要许可的商品）；会议及展览服务；文化用品设备出租；纸制品销售；塑料制品销售；服饰研发；市场营销策划；企业形象策划；项目策划与公关服务；咨询策划服务；工艺美术品及礼仪用品销售（象牙及其制品除外）；广告发布；人工智能基础软件开发；人工智能应用软件开发；数字文化创意软件开发；互联网数据服务；数据处理和存储支持服务；信息技术咨询服务；信息系统运行维护服务；大数据服务（除许可业务外，可自主依法经营法律法规非禁止或限制的项目）"
"738","中体彩彩票运营管理有限公司","刘猛","5,000万(元)","2009-01-06","2025-07-10","2009-01-06 至 2059-01-05","北京市","市辖区","朝阳区","91110105684350035A","613人","有限责任公司(法人独资)","娱乐业","北京市朝阳区东三环南路23号4层","体育彩票运营管理；彩票产品开发与设计；彩票销售网点建设与管理；彩票营销技术推广、培训；彩票销售数据系统研发、管理；资产管理；市场调查；经济信息咨询；技术推广服务；基础软件服务；国内呼叫中心业务（增值电信业务经营许可证有效期至2024年08月16日）；从事互联网文化活动。（市场主体依法自主选择经营项目，开展经营活动；依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事国家和本市产业政策禁止和限制类项目的经营活动。）"
"739","中体彩科技发展有限公司","戚天龙","20,000万(元)","2002-12-24","2025-07-18","2002-12-24 至 2052-12-23","北京市","市辖区","通州区","91110302744706233G","370人","其他有限责任公司","科技推广和应用服务业","北京市北京经济技术开发区科创十四街99号6幢五层","技术开发、技术推广、技术转让、技术咨询、技术服务、技术培训；计算机系统的设计、集成、安装、调试；数据处理；计算机维修；销售计算机、软硬件及辅助设备、电子产品；应用软件服务；设计、制作、代理、发布广告；市场调查；提供会议服务；经济信息咨询（需行政许可项目除外）；承办展览展示活动；物业管理；自有厂房、办公用房出租（以房产证为准）；机械设备租赁（不含行政许可的项目）；体育彩票服务；职业中介活动；第二类增值电信业务。（市场主体依法自主选择经营项目，开展经营活动；依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事国家和本市产业政策禁止和限制类项目的经营活动。）"
"740","绿城物业服务集团有限公司","金科丽","20,000万(元)","1998-10-16","2025-07-10","-","浙江省","杭州市","西湖区","913300007109582058","264人","有限责任公司(外商投资企业法人独资)","房地产业","浙江省杭州市西湖区西溪国际商务中心2幢501室","一般项目：物业管理；人力资源服务（不含职业中介活动、劳务派遣服务）；停车场服务；房地产咨询；住房租赁；家政服务；住宅水电安装维护服务；市政设施管理；信息系统集成服务；物联网应用服务；信息技术咨询服务；酒店管理；会议及展览服务；园林绿化工程施工；城市绿化管理；专业保洁、清洗、消毒服务；电子、机械设备维护（不含特种设备）；通用设备修理；代驾服务；安防设备销售；房地产经纪；病人陪护服务；建筑物清洁服务；电动汽车充电基础设施运营；电子产品销售；塑料制品销售；电子元器件零售；五金产品批发；五金产品零售；装卸搬运；航空运输货物打包服务；航空商务服务；航空运营支持服务；承接档案服务外包（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）。许可项目：高危险性体育运动（游泳）；第二类增值电信业务；职业中介活动；城市生活垃圾经营性服务；餐饮服务；供暖服务；劳务派遣服务（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以审批结果为准）。（分支机构经营场所设在：浙江省杭州市西湖区西溪国际商务中心2幢101-1室）"
"741","资本市场学院","金立扬","200,000万(元)","2012-08-13","-","2021-10-14 至 2026-10-13","广东省","深圳市","南山区","124403000539962004","-","-","-","深圳市南山区西丽街道沁园二路2号","为中国资本市场健康规范发展提供智力支持和人才支持，搭建国际交流与合作的平台。与资本市场相关的研究、非学历教育、培训、咨询顾问、信息服务。"
"742","北京拓普丰联信息科技股份有限公司","廖政","5,937.5万(元)","2003-10-27","2024-03-25","-","北京市","市辖区","朝阳区","91110105756025873C","42人","股份有限公司(非上市、自然人投资或控股)","专业技术服务业","北京市朝阳区安定路5号院13号楼B座12层1201室","一般项目：技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；软件开发；软件销售；五金产品零售；汽车零配件零售；机械设备销售；计算机软硬件及辅助设备零售；化工产品销售（不含许可类化工产品）；通讯设备销售；制冷、空调设备销售；日用百货销售；工艺美术品及礼仪用品销售（象牙及其制品除外）；家具销售；家具零配件销售；建筑材料销售；信息系统运行维护服务；信息系统集成服务；人工智能通用应用系统；市场调查（不含涉外调查）；社会经济咨询服务；企业管理咨询；数据处理服务；信息技术咨询服务；互联网数据服务；大数据服务。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）（不得从事国家和本市产业政策禁止和限制类项目的经营活动。）"
"743","国家知识产权局专利局专利审查协作湖北中心","杨兴","500万(元)","-","-","2022-09-28 至 2027-09-28","湖北省","武汉市","武汉市","121000007178355159","-","-","-","湖北省武汉市东湖新技术开发区九峰街神墩三路一号","开展专利审查协作，促进专利事业发展。专利申请辅助性审查实用新型专利检索报告专利申请咨询"
"744","公安部第一研究所","许剑卓","317,062万(元)","2017-11-09","-","2022-10-31 至 2027-10-31","北京市","市辖区","海淀区","12100000400002662R","-","-","专用设备制造业","北京市海淀区首都体育馆南路一号","开展公安装备研究，促进公安科技发展。专用侦察手段研究与器材研制警用移动通信网络产品和系统设备研制安全检查和毒品爆炸物探测设备研制证件防伪技术和制证验证设备研制安全防范系统设备和配套器材研制警用光学产品和设备研制特种警用装备研制境内国际科学技术展览组织相关软件研制与工程设计授权范围内相关产品检验、认证与计量校准"
"745","安徽省工业互联网发展研究中心","汪旭","1,000万(元)","-","-","2022-11-01 至 2027-11-01","安徽省","合肥市","合肥市","12340100MB1P896878","-","-","-","合肥经开区清潭路693号中德合作创新园6号楼1、8、9层","推动国家工业互联网相关战略、规划、政策落地，培育安徽工业互联网产业生态。区域工业互联网发展战略、规划、政策和标准研究；工业互联网标识解析体系建设；工业互联网网络、平台、数据和安全体系建设；工业互联网大数据分中心建设；相关评估咨询、检测检验、产品开发、推广应用、人才培养、会议展览；相关国际交流与合作。"
"746","合肥市人才发展集团有限公司","江鑫","10,000万(元)","2022-01-18","2024-03-04","-","安徽省","合肥市","蜀山区","91340100MA8NM46J7L","40人","有限责任公司(非自然人投资或控股的法人独资)","商务服务业","安徽省合肥市高新区习友路3333号中国声谷5号楼6层","一般项目：人力资源服务（不含职业中介活动、劳务派遣服务）；创业投资（限投资未上市企业）；以自有资金从事投资活动；技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；会议及展览服务；信息技术咨询服务；互联网数据服务；园区管理服务；创业空间服务（除许可业务外，可自主依法经营法律法规非禁止或限制的项目）许可项目：职业中介活动（依法须经批准的项目，经相关部门批准后方可开展经营活动）"
