"Notice_ID","Notice_Type","Tender_Number","Notice_Content","Successful_Bidder","Awarded_Amount","Tendering_Entity","Tendering_Address","Tendering_Contact_Person","Tendering_Contact_Information","Tendering_Agency","Agency_Address","Agency_Contact_Person","Agency_Contact_Information"
"294"," 中标结果公告"," 招标编号： HBSJ-202305QG-022001001"," 武汉理工大学余区道路维修改造工程（招标项目名称）武汉理工大学余区道路维修改造工程（标段名称）于2023年07月06日在湖北省电子招标投标交易平台（网址：www.hbbidcloud.cn）、湖北省公共资源交易电子服务系统（网址：www.hbggzyfwpt.cn）（媒介名称）上发布了评标结果公示，公示期为2023年07月06日至2023年07月10日。招标人已经依法确定中标人并对本次招标的中标结果予以公告："," 常州市天宁市政绿化工程有限公司","16828102.44"," 武汉理工大学"," 武汉市洪山区珞狮路122号"," 晏老师"," 027-87645256"," 中乾立源工程咨询有限公司"," 洪山区文化大道555号融创智谷B2栋7层"," 王纯","15327125655"
"295"," 中标结果公告"," 招标编号： HBSJ-202302QG-001001001"," 湖北蓝天盐化有限公司50万吨/年盐硝联产节能技改工程新建厂房施工（招标项目名称）湖北蓝天盐化有限公司50万吨每年盐硝联产节能技改工程新建厂房施工（标段名称）于2023年03月09日在湖北省电子招标投标交易平台（网址：www.hbbidcloud.cn）、湖北省公共资源交易电子服务系统（网址：www.hbggzyfwpt.cn）（媒介名称）上发布了评标结果公示，公示期为2023年03月09日至2023年03月13日。招标人已经依法确定中标人并对本次招标的中标结果予以公告："," 湖北凯标建筑工程有限公司","5486837.8"," 湖北蓝天盐化有限公司"," 湖北省云梦县隔蒲镇云化路特一号"," 李贤卫","13667202057"," 湖北省成套招标股份有限公司"," 武汉市武昌区东湖西路特2号"," 王锴","18986168763"
"296"," 中标结果公告"," 招标编号： HBSJ-202209FJ-147001001"," 华中科技大学东一区拆迁安置房装修工程（EPC）（招标项目名称）华中科技大学东一区拆迁安置房装修工程（EPC）（标段名称）于2022年10月15日在湖北省电子招标投标交易平台（网址：www.hbbidcloud.cn）、湖北省公共资源交易电子服务系统（网址：www.hbggzyfwpt.cn）（媒介名称）上发布了评标结果公示，公示期为2022年10月15日至2022年10月17日。招标人已经依法确定中标人并对本次招标的中标结果予以公告："," 深圳三图建设集团有限公司","5069291.61"," 华中科技大学"," 武汉市洪山区珞喻路1037号"," 赵轶"," 027-87558226"," 湖北国华项目管理咨询有限公司"," 武汉市武昌区中北路109号中铁1818中心10楼"," 熊珍珍、万齐威、刘素芳、王刚"," 027-87272701"
"297"," 中标结果公告"," 招标编号： HBSJ-202309FJ-168001001"," 湖北文旅集团总部大楼33至36层维修改造工程总承包（EPC）（招标项目名称）湖北文旅集团总部大楼33至36层维修改造工程总承包（EPC）（标段名称）于2023年10月20日在湖北省电子招标投标交易平台（网址：www.hbbidcloud.cn）、湖北省公共资源交易电子服务系统（网址：www.hbggzyfwpt.cn）（媒介名称）上发布了评标结果公示，公示期为2023年10月20日至2023年10月23日。招标人已经依法确定中标人并对本次招标的中标结果予以公告："," 湖北文旅建投工程有限公司、苏州金螳螂建筑装饰股份有限公司","9624500"," 湖北文旅集团工程咨询管理有限公司"," 武汉市武昌区中北路楚河汉街E座"," 曾志鹏"," 027-87816695"," 湖北省招标股份有限公司"," 武昌区中北路108号兴业银行大厦五层"," 乔青、高翔、范巍"," 027-87273583"
"298"," 中标结果公告"," 招标编号： HBSJ-202306FJ-098001001"," 武汉天河机场员工倒班楼维修项目（招标项目名称）武汉天河机场员工倒班楼维修项目（标段名称）于2023年07月06日在湖北省电子招标投标交易平台（网址：www.hbbidcloud.cn）、湖北省公共资源交易电子服务系统（网址：www.hbggzyfwpt.cn）（媒介名称）上发布了评标结果公示，公示期为2023年07月06日至2023年07月10日。招标人已经依法确定中标人并对本次招标的中标结果予以公告："," 湖北荣民建设发展集团有限公司","5548655.57"," 武汉天河机场有限责任公司"," 武汉黄陂区天河机场内"," 朱晶"," 027-85819856"," 湖北省招标股份有限公司"," 武昌区中北路108号兴业银行大厦五层"," 罗宽","13554201140"
"299"," 中标结果公告"," 招标编号： HBSJ-202301TL-003001002"," 新建襄阳至荆门高速铁路EPC总包甲供物资隧道、桥梁防水材料招标（招标项目名称）新建襄阳至荆门高速铁路EPC总包甲供物资止水带ZSD包件（标段名称）于2023年03月02日在湖北省电子招标投标交易平台（网址：www.hbbidcloud.cn）、湖北省公共资源交易电子服务系统（网址：www.hbggzyfwpt.cn）（媒介名称）上发布了评标结果公示，公示期为2023年03月02日至2023年03月06日。招标人已经依法确定中标人并对本次招标的中标结果予以公告："," 河北博悦橡塑制品有限公司","21380300.68"," 中国铁路设计集团有限公司"," 天津自贸试验区（空港经济区）东七道 109 号"," 陈先生","13752537716"," 中铁物贸集团有限公司"," 北京市门头沟区石龙经济开发区永安路20号3号楼A-3604室"," 张工","18893120783"
"300"," 中标结果公告"," 招标编号： HBSJ-202206MH-003002001"," 民航中南地区（武汉）空中交通管制能力提升基础设施建设工程前期招标（招标项目名称）民航中南地区（武汉）空中交通管制能力提升基础设施建设工程勘察项目（标段名称）于2022年10月13日在湖北省电子招标投标交易平台（网址：www.hbbidcloud.cn）、湖北省公共资源交易电子服务系统（网址：www.hbggzyfwpt.cn）（媒介名称）上发布了评标结果公示，公示期为2022年10月13日至2022年10月17日。招标人已经依法确定中标人并对本次招标的中标结果予以公告："," 中机三勘岩土工程有限公司","77"," 中国民用航空中南地区空中交通管理局湖北分局"," 武汉市天河机场"," 江爱民","63378989"," 国信招标集团股份有限公司"," 北京市海淀区首体南路22号楼10层1003"," 国信招标集团股份有限公司","18271873844"
"301"," 中标结果公告"," 招标编号： HBSJ-202308GL-068001001"," 襄阳至新野高速公路襄阳段投资人招标（招标项目名称）XXTZR-1标段（标段名称）于2023年10月21日在湖北省电子招标投标交易平台（网址：www.hbbidcloud.cn）、湖北省公共资源交易电子服务系统（网址：www.hbggzyfwpt.cn）（媒介名称）上发布了评标结果公示，公示期为2023年10月21日至2023年10月23日。招标人已经依法确定中标人并对本次招标的中标结果予以公告："," 汉江国有资本投资集团有限公司、中铁开发投资集团有限公司、中交第二公路勘察设计研究院有限公司、中铁上海工程局集团有限公司、中铁五局集团机械化工程有限责任公司","3800000000"," 襄阳市人民政府"," 襄阳市襄城区檀溪路219号"," 李先生"," 0710-3443108"," 华杰工程咨询有限公司"," 武汉市硚口区硚口路160号城市广场A座19层"," 尹瑞"," 027-83608038"
"302"," 中标结果公告"," 招标编号： HBSJ-202203GL-018012001"," 武汉至松滋高速江陵至松滋段（含观音寺长江大桥）接线钢梁制造招标（招标项目名称）JSGJG-1标段（标段名称）于2023年07月04日在湖北省电子招标投标交易平台（网址：www.hbbidcloud.cn）、湖北省公共资源交易电子服务系统（网址：www.hbggzyfwpt.cn）（媒介名称）上发布了评标结果公示，公示期为2023年07月04日至2023年07月06日。招标人已经依法确定中标人并对本次招标的中标结果予以公告："," 中铁宝桥集团有限公司","77345749.82"," 湖北交投江陵长江大桥有限公司"," 湖北省荆州市江陵县中兴路25号"," 先生"," 0716-4897012"," 华杰工程咨询有限公司"," 武汉市硚口区硚口路160号武汉城市广场A座19层"," 王涛"," 027-83608005"
"303"," 中标结果公告"," 招标编号： HBSJ-202302FJ-014001001"," 石首麋鹿国家级自然保护区博物馆布展工程设计采购与施工（EPC）（招标项目名称）湖北石首麋鹿国家级自然保护区博物馆布展工程设计采购与施工（EPC）（标段名称）于2023年03月11日在湖北省电子招标投标交易平台（网址：www.hbbidcloud.cn）、湖北省公共资源交易电子服务系统（网址：www.hbggzyfwpt.cn）（媒介名称）上发布了评标结果公示，公示期为2023年03月11日至2023年03月13日。招标人已经依法确定中标人并对本次招标的中标结果予以公告："," 武汉一洋装饰设计工程有限公司","11860355.08"," 石首麋鹿国家级自然保护区管理处"," 石首市大垸镇新码头"," 沙平","15272352338"," 湖北省成套招标股份有限公司"," 武汉市武昌区东湖西路特2号"," 何雄久","18971496598"
"304"," 中标结果公告"," 招标编号： HBSJ-202101FJ-013002001"," 湖北省孝感市安陆市人民医院外科大楼新建项目外科大楼施工总承包（招标项目名称）湖北省孝感市安陆市人民医院外科大楼新建项目外科大楼施工总承包（标段名称）于2022年10月09日在湖北省电子招标投标交易平台（网址：www.hbbidcloud.cn）、湖北省公共资源交易电子服务系统（网址：www.hbggzyfwpt.cn）（媒介名称）上发布了评标结果公示，公示期为2022年10月09日至2022年10月11日。招标人已经依法确定中标人并对本次招标的中标结果予以公告："," 甘肃第四建设集团有限责任公司","189880072.2"," 安陆市人民医院"," 安陆市太白大道99号"," 仰斌"," 027-5275619"," 武汉平安建设工程项目管理有限公司"," 武汉市江岸区沿江大道 228 号江景大厦 B 座10 楼"," 胡工","17373624150"
"305"," 中标结果公告"," 招标编号： HBSJ-202205GL-030008002"," 新港高速公路双柳长江大桥及接线工程钢梁制造招标（招标项目名称）SLGL-2标段（标段名称）于2023年09月29日在湖北省电子招标投标交易平台（网址：www.hbbidcloud.cn）、湖北省公共资源交易电子服务系统（网址：www.hbggzyfwpt.cn）（媒介名称）上发布了评标结果公示，公示期为2023年09月29日至2023年10月07日。招标人已经依法确定中标人并对本次招标的中标结果予以公告："," 武船重型工程股份有限公司","434236670.6"," 湖北交投双柳长江大桥有限公司"," 湖北省武汉市新洲区邾城街道古城大道351号5楼"," 朱先生"," 027-83867437"," 华杰工程咨询有限公司"," 武汉市硚口区硚口路160号武汉城市广场写字楼19层"," 肖约"," 027-83617578"
"306"," 中标结果公告"," 招标编号： HBSJ-202305FJ-091001001"," 武汉理工大学南湖北院北2舍维修工程（招标项目名称）武汉理工大学南湖北院北2舍维修工程（标段名称）于2023年07月08日在湖北省电子招标投标交易平台（网址：www.hbbidcloud.cn）、湖北省公共资源交易电子服务系统（网址：www.hbggzyfwpt.cn）（媒介名称）上发布了评标结果公示，公示期为2023年07月08日至2023年07月10日。招标人已经依法确定中标人并对本次招标的中标结果予以公告："," 深圳三图建设集团有限公司","7410880.21"," 武汉理工大学"," 武汉市洪山区珞狮路122号"," 苏老师"," 027-87285065"," 建成工程咨询股份有限公司"," 湖北省武汉市汉阳区永丰路玫瑰园东村99-1号"," 建成工程咨询股份有限公司","15623530646"
"307"," 中标结果公告"," 招标编号： HBSJ-202302GL-008001001"," 沪渝高速公路恩施西收费站改扩建工程勘察设计招标（招标项目名称）ESXSJ-1标段（标段名称）于2023年03月09日在湖北省电子招标投标交易平台（网址：www.hbbidcloud.cn）、湖北省公共资源交易电子服务系统（网址：www.hbggzyfwpt.cn）（媒介名称）上发布了评标结果公示，公示期为2023年03月09日至2023年03月13日。招标人已经依法确定中标人并对本次招标的中标结果予以公告："," 湖北省交通规划设计院股份有限公司","2679808"," 恩施土家族苗族自治州交通运输局"," 恩施市施州大道8号"," 牟先生"," 0718-8223305-306"," 华杰工程咨询有限公司"," 武汉市硚口区硚口路160号武汉城市广场A座19层"," 李先生"," 027-83308925"
"308"," 中标结果公告"," 招标编号： HBSJ-202209TL-081001001"," 115省道天河至祁家湾段改建工程与武孝城际铁路交叉工程施工（招标项目名称）TQSG标段（标段名称）于2022年10月15日在湖北省电子招标投标交易平台（网址：www.hbbidcloud.cn）、湖北省公共资源交易电子服务系统（网址：www.hbggzyfwpt.cn）（媒介名称）上发布了评标结果公示，公示期为2022年10月15日至2022年10月17日。招标人已经依法确定中标人并对本次招标的中标结果予以公告："," 武汉江腾铁路工程有限责任公司","20481842"," 武汉武铁工程项目管理有限公司"," 武汉市武昌区八一路2号"," 谢昌昌、戴挺"," 027-51125523"," 湖北华科工程咨询有限公司"," 武汉市洪山区徐东大街团结名居桔园"," 吴昱","15071455612"
"309"," 中标结果公告"," 招标编号： HBSJ-202309FJ-176001001"," 湖北省2023年国有林场管护用房建设项目初步设计（招标项目名称）湖北省2023年国有林场管护用房建设项目初步设计（标段名称）于2023年10月21日在湖北省电子招标投标交易平台（网址：www.hbbidcloud.cn）、湖北省公共资源交易电子服务系统（网址：www.hbggzyfwpt.cn）（媒介名称）上发布了评标结果公示，公示期为2023年10月21日至2023年10月23日。招标人已经依法确定中标人并对本次招标的中标结果予以公告："," 湖北省林业勘察设计院","300000"," 湖北省国有林场工作站"," 武汉市洪山区卓刀泉南路33号"," 张主任"," 027-87051347"," 湖北省招标股份有限公司"," 武昌区中北路108号兴业银行大厦五层"," 刘凯","18727020047"
"310"," 中标结果公告"," 招标编号： HBSJ-202306SL-014001001"," 富水流域系统治理工程富水水库溢洪道及放空隧洞改造工程新增渠道电站引水管更新改造项目（招标项目名称）富水流域系统治理工程富水水库溢洪道及放空隧洞改造工程新增渠道电站引水管更新改造项目（标段名称）于2023年07月06日在湖北省电子招标投标交易平台（网址：www.hbbidcloud.cn）、湖北省公共资源交易电子服务系统（网址：www.hbggzyfwpt.cn）（媒介名称）上发布了评标结果公示，公示期为2023年07月06日至2023年07月10日。招标人已经依法确定中标人并对本次招标的中标结果予以公告："," 湖北大禹建设股份有限公司","6172576.66"," 湖北省富水水库溢洪道及放空隧洞改造工程建设管理办公室"," 黄石市阳新县阳新大道68号"," 鲁工","15972378858"," 湖北胜捷工程咨询有限责任公司"," 武汉市洪山区文荟街76号南湖星光时代11层5号"," 朱衡","13476123325"
"311"," 中标结果公告"," 招标编号： HBSJ-201710FJ-016010001"," 湖北省中医药研究院中医药研究中心大楼建设项目弱电设备采购及安装（招标项目名称）湖北省中医药研究院中医药研究中心大楼建设项目弱电设备采购及安装(第二次)（标段名称）于2023年03月11日在湖北省电子招标投标交易平台（网址：www.hbbidcloud.cn）、湖北省公共资源交易电子服务系统（网址：www.hbggzyfwpt.cn）（媒介名称）上发布了评标结果公示，公示期为2023年03月11日至2023年03月13日。招标人已经依法确定中标人并对本次招标的中标结果予以公告："," 中通服建设有限公司","21927891.44"," 中建三局集团有限公司"," 武汉市关山路552号"," 严工","13871254462"," 国信招标集团股份有限公司"," 武汉市洪山区徐东大街97 号龙潭SOMO A座16楼"," 王承丹、戴唯、郭庆"," 027-87238091"
"312"," 中标结果公告"," 招标编号： HBSJ-202202FJ-021004001"," 高端光电子器件产业基地建设项目一期工程施工总承包（招标项目名称）高端光电子器件产业基地建设项目一期工程施工总承包（标段名称）于2022年10月15日在湖北省电子招标投标交易平台（网址：www.hbbidcloud.cn）、湖北省公共资源交易电子服务系统（网址：www.hbggzyfwpt.cn）（媒介名称）上发布了评标结果公示，公示期为2022年10月15日至2022年10月17日。招标人已经依法确定中标人并对本次招标的中标结果予以公告："," 中建三局集团有限公司","730840912.5"," 武汉光迅科技股份有限公司"," 武汉市江夏区藏龙岛开发区潭湖路1号"," 王军","18672778092"," 湖北省成套招标股份有限公司"," 武汉市武昌区东湖西路特2号"," 黄绍波","13317117400"
"313"," 中标结果公告"," 招标编号： HBSJ-202212SZ-014001001"," 钟祥市综合交通客运枢纽一期项目工程总承包（EPC）（招标项目名称）钟祥市综合交通客运枢纽一期项目工程总承包（EPC）（标段名称）于2023年01月13日在湖北省电子招标投标交易平台（网址：www.hbbidcloud.cn）、湖北省公共资源交易电子服务系统（网址：www.hbggzyfwpt.cn）（媒介名称）上发布了评标结果公示，公示期为2023年01月13日至2023年01月16日。招标人已经依法确定中标人并对本次招标的中标结果予以公告："," 中铁第四勘察设计院集团有限公司、中国建筑第四工程局有限公司","531432860"," 钟祥厚德建设工程有限公司"," 钟祥市王府大道25号"," 刘工","15337487602"," 湖北省成套招标股份有限公司"," 武汉市武昌区东湖西路特2号"," 毕启明、吴悦、潘登","17386163091"
"314"," 中标结果公告"," 招标编号： HBSJ-202211FJ-201001001"," 汉江师范学院综合实验实训中心场地平整（招标项目名称）汉江师范学院综合实验实训中心场地平整（标段名称）于2022年12月27日在湖北省电子招标投标交易平台（网址：www.hbbidcloud.cn）、湖北省公共资源交易电子服务系统（网址：www.hbggzyfwpt.cn）（媒介名称）上发布了评标结果公示，公示期为2022年12月27日至2022年12月29日。招标人已经依法确定中标人并对本次招标的中标结果予以公告："," 国瑞（湖北）建工集团有限公司","12358853.52"," 汉江师范学院"," 十堰市北京南路18号"," 王老师"," 0719-8846026"," 湖北省招标股份有限公司"," 武昌区中北路108号兴业银行大厦五层"," 万经松、龚超"," 0719-8780616"
"315"," 中标结果公告"," 招标编号： HBSJ-202210FJ-182001001"," 湖北省公安厅高速公路警察总队襄州大队营房建设项目施工总承包（招标项目名称）湖北省公安厅高速公路警察总队襄州大队营房建设项目施工总承包（标段名称）于2022年12月23日在湖北省电子招标投标交易平台（网址：www.hbbidcloud.cn）、湖北省公共资源交易电子服务系统（网址：www.hbggzyfwpt.cn）（媒介名称）上发布了评标结果公示，公示期为2022年12月23日至2022年12月26日。招标人已经依法确定中标人并对本次招标的中标结果予以公告："," 湖北沙北建设工程有限公司","12012623.3"," 湖北省公安交通管理局"," 湖北省武汉市武昌区付家坡一路33号"," 宋歌"," 027-67122547"," 湖北省成套招标股份有限公司"," 武汉市武昌区东湖西路特2号"," 鲍超明","13871094885"
"316"," 中标结果公告"," 招标编号： HBSJ-202205QT-012001001"," 湖北交投物流集团有限公司利咸高速、武松高速、建始北高速水泥集中采购项目（招标项目名称）湖北交投物流集团有限公司利咸高速、武松高速、建始北高速水泥集中采购项目SN-1(第五次)（标段名称）于2023年01月10日在湖北省电子招标投标交易平台（网址：www.hbbidcloud.cn）、湖北省公共资源交易电子服务系统（网址：www.hbggzyfwpt.cn）（媒介名称）上发布了评标结果公示，公示期为2023年01月10日至2023年01月12日。招标人已经依法确定中标人并对本次招标的中标结果予以公告："," 恩施州腾龙水泥有限责任公司","147420000"," 湖北交投物流集团有限公司"," 武汉市汉阳区湖北国展中心东塔湖北交投大厦"," 徐工"," 027-69578109"," 湖北省成套招标股份有限公司"," 武汉市武昌区东湖西路特2号"," 彭亚美","18771019803"
"317"," 中标结果公告"," 招标编号： HBSJ-202211QG-051001001"," 湖北省农村信用社联合社网络信息中心茶港机房基础设施维保项目（招标项目名称）湖北省农村信用社联合社网络信息中心茶港机房基础设施维保项目（标段名称）于2023年01月10日在湖北省电子招标投标交易平台（网址：www.hbbidcloud.cn）、湖北省公共资源交易电子服务系统（网址：www.hbggzyfwpt.cn）（媒介名称）上发布了评标结果公示，公示期为2023年01月10日至2023年01月12日。招标人已经依法确定中标人并对本次招标的中标结果予以公告："," 达明科技有限公司","2388000"," 湖北省农村信用社联合社网络信息中心"," 武汉市武昌区水果湖街中北路86号7栋"," 苏乔"," 027-87119860"," 湖北省成套招标股份有限公司"," 武汉市武昌区东湖西路特2号"," 何雄久","18971496598"
"318"," 中标结果公告"," 招标编号： HBSJ-202011FJ-171005001"," 湖北省妇女干部学校教学综合楼项目增容供电工程设计采购与施工（EPC）（招标项目名称）湖北省妇女干部学校教学综合楼项目增容供电工程设计采购与施工（EPC）（标段名称）于2023年01月10日在湖北省电子招标投标交易平台（网址：www.hbbidcloud.cn）、湖北省公共资源交易电子服务系统（网址：www.hbggzyfwpt.cn）（媒介名称）上发布了评标结果公示，公示期为2023年01月10日至2023年01月12日。招标人已经依法确定中标人并对本次招标的中标结果予以公告："," 武汉金泉源电力建设有限公司、湖北恒信电力设计有限公司","2550975.83"," 湖北省妇女干部学校"," 武汉市洪山区雄楚大街508号"," 计文静","18971681072"," 湖北省成套招标股份有限公司"," 武汉市武昌区东湖西路特2号"," 招标四部何雄久","18971496598"
"319"," 中标结果公告"," 招标编号： HBSJ-202211SL-044001002"," 数字孪生汉江兴隆水利枢纽工程建设先行先试（招标项目名称）数字孪生汉江兴隆水利枢纽工程建设先行先试建设监理(第二次)（标段名称）于2023年01月10日在湖北省电子招标投标交易平台（网址：www.hbbidcloud.cn）、湖北省公共资源交易电子服务系统（网址：www.hbggzyfwpt.cn）（媒介名称）上发布了评标结果公示，公示期为2023年01月10日至2023年01月12日。招标人已经依法确定中标人并对本次招标的中标结果予以公告："," 长江水利水电开发集团（湖北）有限公司","418000"," 湖北省汉江兴隆水利枢纽管理局"," 武汉市武昌区徐东大街宏昌路3号"," 王方圆"," 0728-6792460"," 湖北华傲水利水电工程咨询有限责任公司"," 湖北省武汉市洪山区珞狮路286号"," 高婷"," 027-65390771"
"320"," 中标结果公告"," 招标编号： HBSJ-202005FJ-042011001"," 随州城市公共活动中心综合体建设项目双电源外线接入设计施工一体化项目（招标项目名称）随州城市公共活动中心综合体建设项目双电源外线接入设计施工一体化项目（标段名称）于2023年01月04日在湖北省电子招标投标交易平台（网址：www.hbbidcloud.cn）、湖北省公共资源交易电子服务系统（网址：www.hbggzyfwpt.cn）（媒介名称）上发布了评标结果公示，公示期为2023年01月04日至2023年01月06日。招标人已经依法确定中标人并对本次招标的中标结果予以公告："," 湖北汉光科技股份有限公司、北京华瑞博远电力工程设计有限公司","21255897.4"," 中建科工集团有限公司"," 随州市城南新区随州城市公共活动中心综合体项目部"," 余小涛","18622774803"," 湖北省成套招标股份有限公司"," 武汉市武昌区东湖西路特2号"," 湖北省成套招标股份有限公司吴广浩","13871104423"
"321"," 中标结果公告"," 招标编号： HBSJ-201904FJ-008009001"," 武汉理工大学科技孵化楼(三期)项目科技孵化楼幕墙工程（招标项目名称）武汉理工大学科技孵化楼(三期)项目科技孵化楼幕墙工程（标段名称）于2023年01月07日在湖北省电子招标投标交易平台（网址：www.hbbidcloud.cn）、湖北省公共资源交易电子服务系统（网址：www.hbggzyfwpt.cn）（媒介名称）上发布了评标结果公示，公示期为2023年01月07日至2023年01月09日。招标人已经依法确定中标人并对本次招标的中标结果予以公告："," 金工建设集团股份有限公司","18242009.67"," 广东电白建设集团有限公司"," 武汉理工大学科技孵化楼（三期）项目施工现场"," 陈多云","18986111201"," 永明项目管理有限公司"," 武汉市武昌区才茂街42号"," 董梦梅、郭杭、秦铁仓、于蓉、王文革"," 027-85555848"
"322"," 中标结果公告"," 招标编号： HBSJ-202203GL-018009001"," 武汉至松滋高速公路江陵至松滋段（含观音寺长江大桥）通信线路迁改施工招标（招标项目名称）武汉至松滋高速公路江陵至松滋段（含观音寺长江大桥）通信线路迁改施工JSTX-1标段（标段名称）于2023年01月07日在湖北省电子招标投标交易平台（网址：www.hbbidcloud.cn）、湖北省公共资源交易电子服务系统（网址：www.hbggzyfwpt.cn）（媒介名称）上发布了评标结果公示，公示期为2023年01月07日至2023年01月09日。招标人已经依法确定中标人并对本次招标的中标结果予以公告："," 江西省邮电建设工程有限公司","14250579.86"," 湖北交投江陵长江大桥有限公司"," 湖北省荆州市江陵县中兴路25号"," 付先生"," 0716-4897012"," 华杰工程咨询有限公司"," 武汉市硚口区硚口路160号武汉城市广场A座19层"," 夏慧文"," 027-83733449"
"323"," 中标结果公告"," 招标编号： HBSJ-201911FJ-009004001"," 武汉科技大学恒大学生文体中心项目体育工艺设备设施集成采购及安装项目（招标项目名称）武汉科技大学恒大学生文体中心项目体育工艺设备设施集成采购及安装项目（标段名称）于2022年12月27日在湖北省电子招标投标交易平台（网址：www.hbbidcloud.cn）、湖北省公共资源交易电子服务系统（网址：www.hbggzyfwpt.cn）（媒介名称）上发布了评标结果公示，公示期为2022年12月27日至2022年12月29日。招标人已经依法确定中标人并对本次招标的中标结果予以公告："," 北京泛华新兴体育产业股份有限公司","18307163.26"," 武汉科技大学"," 武汉市青山区和平大道947号"," 徐老师"," "," 湖北省招标股份有限公司"," 武昌区中北路108号兴业银行大厦五层"," 肖书浩","15527239415"
"324"," 中标结果公告"," 招标编号： HBSJ-201812FJ-591013001"," 华中师范大学文科科研楼室内精装施工（招标项目名称）华中师范大学文科科研楼室内精装施工（标段名称）于2022年12月30日在湖北省电子招标投标交易平台（网址：www.hbbidcloud.cn）、湖北省公共资源交易电子服务系统（网址：www.hbggzyfwpt.cn）（媒介名称）上发布了评标结果公示，公示期为2022年12月30日至2023年01月03日。招标人已经依法确定中标人并对本次招标的中标结果予以公告："," 深圳市特艺达装饰设计工程有限公司","11035034.25"," 华中师范大学"," 湖北省武汉市珞喻路152号"," 龚老师"," 027-67861112"," 中乾立源工程咨询有限公司"," 洪山区文化大道555号融创智谷B2栋7层"," 王纯","15327125655"
"325"," 中标结果公告"," 招标编号： HBSJ-202202FJ-021006001"," 高端光电子器件产业基地建设项目一期工程冷水机组设备采购（招标项目名称）高端光电子器件产业基地建设项目一期工程冷水机组设备采购（标段名称）于2023年01月07日在湖北省电子招标投标交易平台（网址：www.hbbidcloud.cn）、湖北省公共资源交易电子服务系统（网址：www.hbggzyfwpt.cn）（媒介名称）上发布了评标结果公示，公示期为2023年01月07日至2023年01月09日。招标人已经依法确定中标人并对本次招标的中标结果予以公告："," 武汉快安佳建筑环境设备控制有限公司","8960000"," 武汉光迅科技股份有限公司"," 武汉市江夏区藏龙岛开发区潭湖路1号"," 王军"," 027-87691051"," 湖北省成套招标股份有限公司"," 武汉市武昌区东湖西路特2号"," 黄绍波","13317117400"
"326"," 中标结果公告"," 招标编号： HBZX-201707GL-301014001"," 湖北荆宜高速公路2023~2025年度养护工程JY-SJ-01标段设计（招标项目名称）湖北荆宜高速公路2023~2025年度养护工程JY-SJ-01标段设计（标段名称）于2022年12月30日在湖北省电子招标投标交易平台（网址：www.hbbidcloud.cn）、湖北省公共资源交易电子服务系统（网址：www.hbggzyfwpt.cn）（媒介名称）上发布了评标结果公示，公示期为2022年12月30日至2023年01月03日。招标人已经依法确定中标人并对本次招标的中标结果予以公告："," 湖北省交通规划设计院股份有限公司","1805684"," 湖北荆宜高速公路有限公司"," 湖北宜昌当阳市王店镇木店村四组32号"," 段先生、程先生"," 0717-3465258、0717-3465402"," 上海中世建设咨询有限公司"," 武汉市汉阳区江城大道368号与四新南路交汇处和昌集团写字楼9楼"," 张先生"," 027-83657143"
"327"," 中标结果公告"," 招标编号： HBSJ-202012GL-060007001"," 宜都至来凤高速公路宜昌段柴埠溪特大桥钢梁制造（招标项目名称）YCGJG-1（标段名称）于2023年01月06日在湖北省电子招标投标交易平台（网址：www.hbbidcloud.cn）、湖北省公共资源交易电子服务系统（网址：www.hbggzyfwpt.cn）（媒介名称）上发布了评标结果公示，公示期为2023年01月06日至2023年01月09日。招标人已经依法确定中标人并对本次招标的中标结果予以公告："," 武船重型工程股份有限公司","265846428.8"," 湖北交投宜来宜昌高速公路有限公司"," 湖北省五峰县渔洋关镇古潭路38号"," 童先生"," 0717-5193562"," 北京中交建设工程咨询有限公司"," 北京市朝阳区北苑路170号凯旋城3号楼4层0501"," 王先生","1051656899"
"328"," 中标结果公告"," 招标编号： HBSJ-202212FJ-207001001"," 恩施州“一中心两基地”暨州民兵训练基地（二期）项目工程总承包(EPC)（招标项目名称）恩施州“一中心两基地”暨州民兵训练基地（二期）项目工程总承包(EPC)（标段名称）于2023年01月06日在湖北省电子招标投标交易平台（网址：www.hbbidcloud.cn）、湖北省公共资源交易电子服务系统（网址：www.hbggzyfwpt.cn）（媒介名称）上发布了评标结果公示，公示期为2023年01月06日至2023年01月09日。招标人已经依法确定中标人并对本次招标的中标结果予以公告："," 中建三局集团有限公司、中南建筑设计院股份有限公司","217967036.8"," 恩施州青树林建设开发有限公司"," 恩施市舞阳坝街道金龙大道中段企业服务中心综合服务楼"," 吴先生"," 0718-8209369"," 湖北省招标股份有限公司"," 武昌区中北路108号兴业银行大厦五层"," 陶睿、马星辉"," 027-87273603"
